,run,rows
648,607:2,1
649,608:12,0
650,60:0,0
651,613:5,1
652,615:2,5
653,617:2,0
654,619:2,0
655,61:0,0
656,620:2,1
657,621:6,0
658,622:5,0
659,625:6,0
660,628:2,0
661,630:2,0
662,640:2,0
663,643:5,0
664,644:1,0
665,645:5,0
666,648:2,6
667,651:2,6
668,65:0,0
669,664:2,1
670,668:5,0
671,669:1,0
672,66:0,3303
673,672:1,0
674,67:2,1
675,68:0,0
676,694:9,0
677,697:5,0
678,699:5,0
679,6:0,1
680,700:2,0
681,701:2,0
682,703:5,0
683,704:2,0
684,705:2,1
685,720:5,0
686,725:5,0
687,72:0,0
688,73:0,1
689,74:0,0
690,75:0,0
691,76:0,0
692,77:0,0
693,7:0,1
694,80:0,0
695,81:0,0
696,82:0,0
697,83:0,0
698,842:5,0
699,843:5,0
700,844:5,0
701,84:0,0
702,85:0,0
703,86:0,0
704,87:0,0
705,885:0,0
706,888:2,239
707,889:0,28
708,88:0,0
709,890:2,239
710,892:1,0
711,894:2,239
712,895:2,239
713,896:2,239
714,897:2,239
715,898:2,239
716,89:0,0
717,8:0,0
718,901:4,0
719,902:6,1
720,904:4,0
721,908:4,0
722,90:0,0
723,911:5,0
724,914:2,1
725,915:3,0
726,916:2,0
727,917:2,1
728,919:2,0
729,91:0,0
730,920:2,0
731,921:2,0
732,922:0,1
733,923:2,0
734,924:4,0
735,925:2,0
736,926:2,0
737,927:5,0
738,928:2,0
739,92:0,0
740,936:6,1
741,940:2,0
742,941:2,0
743,942:10,4
744,945:5,0
745,946:4,0
746,948:4,0
747,94:0,1
748,952:2,0
749,953:2,0
750,954:2,0
751,955:2,0
752,956:2,0
753,957:2,0
754,958:5,0
755,959:2,1564
756,95:0,0
757,961:6,1
758,962:4,0
759,963:4,0
760,964:3,0
761,968:0,0
762,969:2,239
763,96:0,0
764,971:13,0
765,972:2,0
766,973:0,0
767,974:5,0
768,977:6,0
769,97:0,0
770,981:6,0
771,985:14,0
772,992:10,2
773,997:2,4
774,998:2,4
